timestamp,scenario,asset,plc_ip,recipe_id,operator_mode,line_state,conveyor_run,safety_ok,estop,photoeye_infeed,photoeye_outfeed,jam_sensor,fault_lamp,fault_code,jam_timeout_s,speed_setpoint_pct,actual_speed_pct,motor_current_a,vibration_mm_s,temperature_c,line_rate_ppm,item_count,reject_count,reject_rate_pct,plc_cycle_ms,network_rx_kbps,network_tx_kbps,ground_truth_label
2026-09-01T10:00:00+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,1,0,0,,5,78.0,77.88,12.707,2.293,46.77,91.67,125001,620,0.37,10.58,9.78,9.38,NORMAL
2026-09-01T10:00:01+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,0,0,0,,5,78.0,78.11,12.711,2.305,46.72,94.64,125003,620,0.365,9.667,9.06,12.45,NORMAL
2026-09-01T10:00:02+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,1,0,0,,5,78.01,77.78,12.453,2.412,47.18,91.36,125004,620,0.595,10.513,16.63,10.83,NORMAL
2026-09-01T10:00:03+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,0,0,0,,5,78.01,76.8,11.731,2.234,46.22,92.2,125006,620,0.652,9.649,15.34,6.37,NORMAL
2026-09-01T10:00:04+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,1,0,0,,5,78.02,78.11,13.079,2.357,46.69,93.34,125007,620,0.607,10.309,12.28,8.96,NORMAL
2026-09-01T10:00:05+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,0,0,0,,5,78.02,78.63,13.316,2.271,46.48,92.09,125009,620,0.287,11.341,14.76,10.46,NORMAL
2026-09-01T10:00:06+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,1,0,0,,5,78.03,77.41,12.098,2.303,46.33,92.88,125010,620,0.571,10.541,10.9,13.54,NORMAL
2026-09-01T10:00:07+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,0,0,0,,5,78.03,77.55,12.533,2.229,46.84,90.48,125012,620,0.463,10.038,14.26,13.18,NORMAL
2026-09-01T10:00:08+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,1,0,0,,5,78.04,77.58,12.88,2.392,46.55,92.02,125013,620,0.57,10.024,14.65,12.34,NORMAL
2026-09-01T10:00:09+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,0,0,0,,5,78.04,78.18,11.941,2.488,45.81,91.38,125015,620,0.517,9.382,13.83,8.13,NORMAL
2026-09-01T10:00:10+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,1,0,0,,5,78.05,77.8,12.626,2.22,46.71,95.33,125016,620,0.48,11.149,13.51,7.43,NORMAL
2026-09-01T10:00:11+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,0,0,0,,5,78.05,77.21,12.543,2.399,46.41,90.45,125018,620,0.576,9.535,9.01,8.59,NORMAL
2026-09-01T10:00:12+00:00,NORMAL_BASELINE,PLC01,192.168.50.20,PKG-A12,AUTO,RUN,1,1,0,1,1,0,0,,5,78.06,79.88,13.086,2.447,46.33,94.04,125020,620,0.589,11.043,9.77,9.89,NORMAL
